ID,City or FUA,Region,Name (short English title),Native language title,Short description of the intervention,Website of the intervention,Climate-related ambition and performance ,Land surface temperature,Carbon storage,Stormwater holding capacity,Biodiversity-related ambition and performance,Coastal habitat,Green/Blue Area Fraction,Protected Area,Social justice-related ambition and performance, Inclusiveness of project beneficiaries,Population access,Recreation potential,"Alignment of NBS Targets with Climate, Biodiversity, and Social Objectives ",Diversity of stakeholder involvement,Long-term perspective,Potential for high-quality project result delivery,Climate,Biodiversity,Social Justice,Transformative Potential
244,Thessaloniki (FUA),Europe,"""Rain garden"" along the October 28th street in Thessaloniki",Κήποι βροχής στην οδό 28ης Οκτωβρίου στη Θεσσαλονίκη,"The 28th of October Street (28ης Οκτωβρίου) was one of the most neglected streets on the eastern side of Thessaloniki, completely devoid of trees despite its central importance. Additionally, the street suffered from severe flooding during heavy rainfall. In 2011, the Municipality of Thessaloniki, in collaboration with Konstantinos Zervas, the Deputy Mayor for the Environment, Quality of Life, and Free Space, proposed a redevelopment project aimed at transforming the street through the planting of trees and the installation of flower beds that would function as rain gardens (Refs 3, 5). This initiative was part of the ""Integrated Green Cities"" action, which falls under the European territorial cooperation program Greece-Bulgaria 2007-2013 (Refs 1, 2, 3, 6).

To achieve the dual goals of sustainable rainwater management and urban beautification, decorative trees were planted in specially constructed bioretention tree stands. These stands, along with the flower beds, were designed to collect rainwater, which would then be used to irrigate the trees along the road and the plants forming the rain gardens. Rainwater was gathered from the road surface, pavements, and the gutters of apartment buildings through these bioretention systems (Refs 1, 2). This sustainable water management solution significantly reduced rainwater runoff, improved water quality, and enhanced the area’s aesthetic appeal (Refs 2, 6, 7).",https://www.voria.gr/article/etoimoi-mexri-to-kalokairi-oi-kipoi-tis-broxis-stin-28is-oktobriou,4,1,1,3,4,0,2,1,4,4,4,1,3,3,2,4,9,7,13,12
245,Phoenix (FUA),Northern America,Westwood Tree Planting,NA,"Minimizing heat stress is a top priority for Phoenix, the hottest major city in the U.S. In 2023, extreme heat contributed to at least 359 deaths across Maricopa County. Phoenix is particularly vulnerable to climate change, with extensive concrete and asphalt, increased pollution, higher population densities, and concentrated infrastructure that exacerbate the urban heat island effect, drought, and extreme weather. Moreover, the heat disproportionately impacts lower-income and Hispanic neighborhoods, which tend to have less tree canopy and fewer resources to cope with rising temperatures.
To address these challenges and promote tree equity in underserved neighborhoods, the City of Phoenix, along with the Office of Heat Response and Mitigation, launched the Community Canopy Grant Program in 2023. The concept of tree equity refers to identifying areas with low tree coverage and high social need, then prioritizing investments in these areas. By improving tree equity, the program aims to assist neighborhood associations and community members in areas that need it most.
The Community Canopy Grant Program targets neighborhoods within Qualifying Census Tracts across Phoenix, and one of the first neighborhoods to benefit was Westwood. In early 2024, community members gathered to plant 200 box trees for residents who received grants, marking the largest City-sponsored neighborhood tree planting event of the season. These tree plantings aim to provide much-needed shade for homes while fostering community engagement, helping to mitigate heat stress and build stronger, more resilient neighborhoods. (1-5)",https://www.phoenix.gov/newsroom/environmental-programs/3039,2,1,4,4,1,0,4,1,4,2,4,4,3,2,3,3,11,6,14,11
246,Marseille (FUA),Europe,The Green Rush,La Ruée verte,"The project La Ruée Verte aims to create a green corridor connecting two emblematic locations for social and environmental justice: La Base Marseille and L’Après M. The route spans over 7 km and passes through La Friche de La Belle de Mai and aims to bring more nature into the city on a larger scale in a fair and equitable way (Ref 2).
Given the challenges of climate change—rising temperatures, urban heat islands, fewer trees in Marseille, and increasing urbanization—the green corridor will offer a solution to combat the suffocating effects of the city’s concrete sprawl (Ref 2). Additionally, it aims to reduce pollution peaks and improve air quality (Ref 2), increase biodiversity (Ref 2), and provide access to green spaces and places for social interaction (Ref 2).
The project also addresses the broader social crisis, with rising costs of food, housing, and transportation (Ref 2). Local solidarity is key, ensuring that all green initiatives foster community interaction and consider the urgent needs of residents, such as precarious living conditions and isolation (Ref 2). Collective participation is central to the project, ensuring that it is designed by and for residents of different neighborhoods, reflecting their realities. The project, called “La Ruée Verte,” aims to unite various citizen groups, social centers, and associations to amplify their voices (Ref 2).
The project's first phase, “La Petite Ruée,” will launch in October 2024, following a year of preparation. It will start with neighbourhood micro-projects and shared advocacy, including events and gatherings (Ref 2). The goal is to collectively think about social and climate justice and begin taking concrete actions towards popular ecology in each neighbourhood (Ref 2).",https://marseilleentransition.fr/la-ruee-verte/,2,1,4,3,2,0,3,1,2,2,4,2,4,2,2,3,10,6,10,11
247,Vienna (FUA),Europe,Biotope City Wienerberg,Biotope City Wienerberg,"Biotope City Wienerberg is located in the southern part of Vienna on a 5.4-hectare site that once housed a Coca-Cola factory. It lies at the edge of the Wienerberg recreational area, surrounded by business parks and tower blocks to the west and predominantly detached houses to the east (Ref. 1).
The project embodies the concept of an ""urban biotope"" (Ref. 2), grounded in the principle that nature's mechanisms of self-regeneration are essential for mitigating the challenges of urban living and climate change. By integrating urban and natural spaces, Biotope City fosters both human-nature connections and social interactions through activities like community gardening. The project’s centerpiece is its extensive green infrastructure, including trees and green roofs, which serve to cool the microclimate, purify the air, enhance water retention, and create carbon sinks while providing habitats for local wildlife. These green spaces aim to improve physical health through cooling effects on hot days and support mental well-being with their calming influence (Ref. 1; Ref. 2).
Biotope City encompasses:
    Around 980 flats, including 400 subsidized flats and 200 SMART flats
    A school, a kindergarten, and 2,000 square meters of children's and youth playgrounds
    600 square meters of community gardens and 3,850 square meters of ground-floor gardens
    250 trees, 8,900 square meters of meadows, and 13,600 square meters of green roofs
    2,200 square meters of façade greening
The inner courtyards and roof areas are designed for gardening, while façades are greened, and balconies are equipped with integrated plant troughs. Even the spaces between buildings are climate-effective, featuring unsealed catchment and seepage areas to manage water sustainably (Ref. 1).
The project’s implementation took 18 years and involved collaboration among various stakeholders. The concept was initiated by the Biotope City Foundation and funded by eight different investors (Ref. 2).",https://www.wien.gv.at/stadtplanung/biotope-city-wienerberg,4,1,4,3,2,0,2,1,4,2,3,2,4,4,3,4,12,5,11,15
248,Lima (FUA),Latin America and the Caribbean,Choquehuanca Square,Plaza Choquehuanca,"Lima is the capital of the region with the lowest coverage of green spaces. According to the World Health Organisation (WHO), a city should have at least 9m2 of green space per inhabitant. Lima is just over 3m2 square metres, which means a deficit of almost 60 million square metres. In this context, actions from the public and private sectors are essential to add this type of space to the city. In response to this need, Grupo Centenario carried out a green project on one of its plots of land in San Isidro, where real estate projects will be developed (1, 2, 3, 4). 
A square was built with a green area with wild and low-consumption species, knocking down the walls that surrounded the land for years, turning it into a place for everyone to see and use (1, 2, 3, 4). The Choquehuanca Square was built to contribute to the community and make it a better place to live. It is located on a plot of land that was previously enclosed by walls, converting it into an area of 3,945 m2 with a green space that occupies 70% of the square (1, 2, 3). This is a temporary project, as the green space was opened while projects are being developed on this land (1, 2, 3).",https://centenariooficinas.pe/plaza-choquehuanca-una-nueva-area-verde-que-potencia-nuestra-ciudad/,1,1,1,2,4,0,2,1,1,2,3,1,2,1,2,2,5,7,7,7
249,Phoenix (FUA),Northern America,Native Health Traditional Garden,NA,"In Phoenix, access to native, traditional foods prepared by Indigenous communities is scarce. This disconnection is rooted in the legacy of colonization and the forced assimilation of Indigenous peoples through practices such as mandatory residential schools. The Phoenix Indian School, which operated until 1990, is a stark reminder of these injustices, and deep-rooted systemic inequalities continue to persist today. In response, Indigenous food activists have worked tirelessly to promote traditional foodways and advocate for food sovereignty.
One such initiative is led by Native Health, an urban Indian health program that provides primary medical, dental, behavioral health, WIC, and wellness services in Phoenix. In 2019, Native Health launched a community-based garden initiative to reconnect urban Indigenous communities with their traditional life ways. The Native Health Traditional Garden was initially established on a 15-acre plot of vacant land, which sat atop the remnants of a notorious boarding school. However, when an investment firm purchased the land, the garden was displaced and forced to relocate. It downsized to less than an acre of space within a larger community garden project known as the ""KeepPhoenixBeautiful Garden.""
Despite these challenges, the Traditional Garden continues to thrive, drawing from Indigenous agricultural techniques such as Akimel O’odham canal irrigation, Zuni waffle beds, and Diné dry farming. The garden focuses on cultivating traditional, Indigenous, and desert-adapted plants, including corn, beans, squash, gourds, peppers, sunflowers, melons, and medicinal plants. In addition to growing these vital crops, the garden provides interactive learning opportunities for all ages, including workshops, youth clubs, pick-your-own events, and monthly community workdays.
The goal of the Traditional Garden project is to offer the urban Indigenous community opportunities for hands-on learning, and increased access to harvested produce. (1, 2)",https://www.nativehealthphoenix.org/services/community-health-and-wellness/garden/,1,1,2,3,3,0,3,1,4,1,3,3,2,2,2,3,7,7,11,9
250,Thessaloniki (FUA),Europe,Thessaloniki's New waterfront,Νέα Παραλία της Θεσσαλονίκης,"Thessaloniki, Greece's second-largest urban center, is a key hub for economic growth and outward trade in the Balkans. The city hosts the country’s second-largest export port, which plays a crucial role in connecting European trade routes with Asia and China. However, until 2014, Thessaloniki's waterfront was poorly maintained, largely inaccessible, and unattractive. Moreover, major flooding events, connected to extreme weather events,  exposed significant deficiencies in the city's flood mitigation infrastructure, leading to damage to housing and critical services. (5, 10, 11)
To address these issues, the Municipality of Thessaloniki launched an International Architectural Competition for the redevelopment of the New Waterfront. From 2006 to 2014, Thessaloniki's waterfront underwent a significant regeneration aimed at benefiting the city's population of 1.1 million and stimulating the local economy. The revitalized waterfront now stretches 3 kilometers between land and sea, featuring 58,000 acres of green space an playgrounds.. In total, 2,353 new trees and 118,432 plants were added across an area of 238,800 m² (Refs 1, 3, 4).
The project also introduced walking routes, sports and recreational facilities, seating areas, and scenic viewing points. The waterfront now has a bicycle path along the entire walkway, and an arbour of 660 umbrella pine trees, serving as shade from the midday sun. Completed in 2014, the New Waterfront has already become a vibrant urban green space, enjoyed by both Thessaloniki's citizens and visitors alike (Ref 4).",https://www.archdaily.com/484899/new-waterfront-of-thessaloniki-nikiforidis-cuomo-architects,2,4,3,4,4,1,4,1,4,4,4,3,4,3,4,4,13,10,15,15
251,Dublin (FUA),Europe,Ballyfermot People's Park,NA,"In 2021-2022, the fenced grassy area beside the Ballyfermot Community Civic Centre was transformed into a welcoming 'people’s park'—an open green space for the community (2). Designed by Dublin City Council’s Parks, Biodiversity, and Landscape Services, the park reflects ideas from local residents gathered over eight months of on-site conversations and two community consultation events. 
The new park features a winding perimeter path, earth mounds planted with a variety of trees and plants for seasonal color, and infrastructure to support small community gatherings. An open pergola and a designated market space for food, plant, and craft markets provide inviting spots for social events. Along the park’s edge, a movement trail with playable elements for exercise and play adds a dynamic feature to the space. 
Furthermore, a Jackstraws See-Saw is ideal for older children to play in groups and learn about movement whilst also being a tremendous informal seating area for them to gather and chat. Trees cover the See-Saw, offering shade and shelter from the weather, making it a great social space all year round. A Rope Course provides a physical challenge for older children to climb and balance at height while exploring the area. Informal play opportunities are found throughout the park to, with trees, fallen logs, benches and planting that create sensory, imaginative and physical play experiences. (5-7)
Additionally, an edible garden is planned to be developed collaboratively with local residents over the next 2-3 years (4).",https://www.dublincity.ie/residential/parks/new-parks-and-projects/peoples-park-ballyfermot,1,1,4,3,2,0,3,1,2,4,3,3,3,2,2,3,9,6,12,10
252,La Paz (FUA),Latin America and the Caribbean,Urban farm Lak'a Uta,Huerto Orgánico Lak´a Uta (HOLU),"The urban farm of Lak'a Uta is an initiative launched by the NGO Fundación Alternativas, which established the first community garden in Bolivia, located in the city of La Paz at an altitude of 3,600 meters above sea level (1-3). The initial plan was to develop the garden on private land, but since the goal was to create an open space accessible to all citizens, the project eventually sought a public location (3). The subdistrict of Cotahuma granted them permission to use the Lak'a Uta park, an abandoned area rendered unusable by two landslides in the previous year (3). Through voluntary efforts and an investment of 2,800 euros, the land was transformed over three years to accommodate 40 plots of 16m² each, with individual families cultivating a variety of vegetables (3).
Now celebrating its 10-year anniversary, the project adheres to many principles of organic agriculture in an urban setting (5). The area has become a biodiversity hotspot, featuring an artificial pond, 16 wild plant species, and 39 fauna species, including 34 bird species, two types of frogs that provide natural pest control, and three bee species (3-5). Compost is produced naturally using waste management practices and worms (4-5). In addition to edible vegetables, the garden produces medicinal plants, some of which help stabilize the soil and prevent further landslides (3-4). The infrastructure also includes a rainwater collection system (3-5).
Originally, the project aimed to improve access to food, particularly in response to the growing urban population (1-3). Over time, it has also fostered a strong sense of community, while promoting urban gardening through educational workshops and disseminating information nationwide (1-5). It is estimated that 20,000 people have been educated on urban agriculture, healthy eating, and reconnecting with nature (5). The project has also contributed to shaping a local government law supporting urban gardening within the municipality (3).",https://bioruta.alternativascc.org/,4,4,2,4,4,0,4,1,4,3,3,2,4,3,3,4,14,9,12,14
253,Göteborg (FUA),Europe,Stora Amundön and Billdal Archipelago Nature Reserve,Naturreservatet Stora Amundön och Billdals skärgård,"The Stora Amundö and Billdal archipelago nature reserve is in the southernmost part of the City of Gothenburg. The proximity to the city makes it a popular recreational destination, with about 73000 visitors each year. In 2018, the area was protected as a nature reserve to preserve its recreational, natural and historical values. The status as a nature reserve prohibits any exploitation and other harmful activities in the area. The area of the reserve is 1103 ha, of which 259 ha is land area and the rest is water [Ref. 1-3]. The management of the reserve includes promoting recreational and educational activities by creating new entrances, paths and signs, as well as holding guided tours. The management also includes restoring and improving terrestrial ecosystems such as grasslands through mowing and grazing and deciduous forests through selective clearing. A wetland has been restored to promote biodiversity further [Ref. 2, 4]. The reserve was created and is managed by the City of Gothenburg, the process of creating it involved consultation of stakeholders such as land owners, government agencies and NGO's [Ref. 1]. Some local landowners disagreed with the borders of the nature reserve having an impact on their land, leading to an appeal that was ultimately denied [Ref. 5, 6]",https://www5.goteborg.se/prod/fastighetskontoret/etjanst/planobygg.nsf/vyFiler/Naturreservatet%20Stora%20Amund%C3%B6%20och%20Billdals%20sk%C3%A4rg%C3%A5rd-Inf%C3%B6r%20antagande.-Beslut/$File/F%C3%B6rslag%20till%20beslut%20Stora%20Amund%C3%B6%20och%20Billdals%20naturreservat%20180226.pdf?OpenElement,2,2,2,4,4,1,4,2,4,3,2,1,3,3,4,2,10,11,10,12
254,Alexandria (FUA),Africa,Al-Muntazah 2 Neighborhood Tree Planting,NA,"Alexandria is one of the vulnerable cities facing climate change (1). From rising sea levels, pollution, extreme rise and fall in temperature and the urban heat island effect, Alexandria is battling significant challenges (1). The city is also worldly renowned for it beaches and gardens that act as the lungs through which the city breathes, and are considered a haven for its people (1).  Unfortunately, in the last ten years, there has been a decrease in parks and green areas, which is a cause for concern (1). This shrinkage comes at the expense of urban expansion and the establishment of Commercial and profitable projects, which is a challenge facing the environmental balance and cultural heritage of the city (1). To address the nature of the challenges and climate changes and their effects in Egypt, the president launched the ""The 100 Million Trees Initiative"" was brought into action in 2022 as part of the Egypt 2030 Vision (2-3). The campaign is meant to double the per capita share of green spaces across the country, improve air quality and people’s health, and reduce greenhouse gases. It will also aim to recoup economic benefits from the trees, including wood and olive oil (3). As part of this initiative, the governor of Alexandria was tasked with taking care of the green spaces and improving the aesthetic and civilizational level, within the scope of Alexandria's neighborhoods and centers (4). In 2023, the gardens department carried out the planting of 812 trees and shrubs of various types within the scope of Al-Muntazah 2 Neighborhood during Week 25 to continue the work of the presidential initiative to plant 100 million trees in the governorate's neighborhoods (4).",https://www.youm7.com/story/2023/8/22/%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1-%D9%85%D8%AB%D9%85%D8%B1%D8%A9-%D9%81%D9%89-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D9%8A%D8%A9-%D8%A8%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-%D8%B6%D9%85%D9%86-%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A9-100-%D9%85%D9%84%D9%8A%D9%88%D9%86/6279965,2,1,3,4,3,1,4,1,4,1,4,4,3,1,2,2,10,9,13,8
255,Lima (FUA),Latin America and the Caribbean,The Pantanos de Villa Wildlife Refuge,Refugio de Vida Silvestre Los Pantanos de Villa,"The Pantanos de Villa Wildlife Refuge is a natural oasis in the heart of Lima. It is considered a marsh of international Ramsar importance, as it is home to a large number of species of flora and fauna. It includes 5 bodies of water with about 210 species of birds, 13 species of fish, and 5 species of amphibians and reptiles, among others (1). It was created in 2006, by Supreme Decree N°055-2006-AG, which established the definitive category for the Pantanos de Villa, under the name of The Pantanos de Villa Wildlife Refuge (2). This protected area was established over an area of 263.27 ha, and its main goal is to conserve a representative sample of the Marshes of the Subtropical Pacific Desert, including important plant communities, as well as migratory and resident avifauna, focusing mainly on species with some degree of threat (1, 2, 6).
In 2016, a Master Plan was approved aimed at strengthening the conservation of the biological diversity of this coastal marsh and ensuring conditions to promote inter-institutional cooperation and participatory management, including neighbours, authorities, municipalities and interested institutions (2). 
This Master Plan establishes environmental, economic and cultural indicators defined to be met over 5 years. These are focused on protecting water resources, conserving migratory and resident bird species, ensuring the conservation of the cattail, promoting tourism and recreational activities, fostering environmental awareness activities and engaging citizens in the management of the Refuge (2)
This plan seeks to confront a series of threats that endanger the conservation of this ecosystem. Among the main problems are the illegal extraction of natural resources, such as cattail; the improper use of the space for activities such as bonfires, consumption of illicit substances and pet walks; the change in land use due to urban expansion; pollution from effluent discharges and solid waste disposal; and illegal fishing (2)",https://pantanosdevilla.pe/,1,4,2,4,4,1,4,NA,3,3,4,4,2,3,3,4,11,9,14,12
256,Tirana (FUA),Europe,Tulla Urban Farm,Qendra e Kulturës Tulla,"Tirana's urban development has set a new record in 2022, when more than 1.8 million square meters of new buildings were constructed (Ref. 5). This rapid development increased the need for accessible urban green areas. At the Tulla Urban Farm, a wide audience is trained to create those green areas in their yards, balconies and roofs with the added benefit of growing produce for their own needs (Ref. 1,2,5). This practice of food autonomy is deeply rooted in Albanian culture but has been lost in urban settings where concrete has taken over the city (Ref. 1). Tulla Urban Farm addresses this issue by providing an inclusive space for people of diverse backgrounds to come together and experience urban gardening first hand under the guidance of professionals from the Agricultural University of Tirana (Ref. 2,3). In these ""urban agricultural schools"",  workshops, seminars and discussions are held to re-cultivate traditional agro-cultural practices and knowledge that will benefit the participants, many of which are from marginalised backgrounds (Ref. 1, 4). All these activities are facilitated through the rooftop greenhouse of the Tulla Cultural Center, which harbours over 300 plants (Ref.1). As such, Tulla Urban Farm not only provides a space for experiencing and learning about plants but also for social interaction and building a community that also addresses more serious issues such as mental health in a society that faces high rates of unemployment (Ref. 1). 
The project had received inital funding from the German GIZ in 2022 and won the Cultures of Resistance Award through which it financed the first two years of its programme and enabled free participation at the urban agricultural school for all participants (Ref. 2,4).",https://tullaurban.farm/per-ne/,1,1,1,2,3,0,1,1,4,2,4,1,2,4,2,3,5,5,11,11
257,Lisboa (FUA),Europe,Kelp Forest Restoration,NA,"Seaweeds are of immense value to marine ecosystems, and Kelp, the largest of them all, forms spectacular underwater forests that provide habitat for fish, clean the water, and sequester carbon. Unfortunately, large swathes of these subaquatic forests have disappeared from the coasts of many European countries, including Portugal (Ref. 2).
The ""Sea Forester"" project in Cascais aims to restore local kelp forests, which are essential for marine biodiversity and carbon sequestration. In collaboration with the Câmara Municipal de Cascais and Mossy Earth (social enterprise), the project assesses the historical and current state of seaweed populations and identifies environmental stressors. It employs innovative techniques like the ""green gravel"" method to restore kelp ecosystems. This project supports the region’s blue economy and resilience to climate change through carbon offsetting and enhanced ecosystem services (Ref 1; 6; 7). Supported by the EEA Innovation Grant, it combines scientific research and community engagement, positioning Cascais as a leader in marine conservation efforts (Ref 6).",https://www.seaforester.org/projects,2,4,1,NA,4,1,2,1,1,2,2,1,3,3,3,2,7,8,6,11
258,Cartagena (FUA),Latin America and the Caribbean,Recovery of Cienaga Juan Polo,Recuperación de la Cienaga Juan Polo,"The Recovery of Cienaga Juan Polo project is primarily aimed at reopening the natural mouth of the Manzanillos to restore water flow between the sea and the Juan Polo coastal wetland, which has been affected by human activities leading to high salinity and water stagnation issues (ref 2). The project is led by Fundacion Serena del Mar. Environmental and social sustainability are core components of the project design, which has included extensive community consultations since 2013. These consultations have resulted in agreements covering employment opportunities, education, and infrastructure development (ref 2). Key implementation activities include the reforestation of mangroves and targeted interventions to address ecological degradation, such as increased salinity, water stagnation, and biodiversity loss (ref 2). The project also seeks to enhance the quality of life for surrounding communities by restoring traditional economic activities, particularly fishing, and integrating sustainable urban planning elements such as canals, sluices, and navigable waterways. These features are designed to support the development of a ""blue corridor"" for aquatic mobility within Serena del Mar (ref 2, 3). In addition, it also contributes to local capacity building through environmental education programs that engage community members, researchers, and NGOs in biodiversity monitoring and sustainable practices​ (ref 1).",https://fundacionserenadelmar.org/programa-ambiental-cardique-y-ematuecob/,1,1,3,4,4,1,4,1,2,1,3,4,3,4,1,1,9,10,10,9
259,Dublin (FUA),Europe,The Airfield Community Garden,NA,"Airfield Estate, based in Dundrum, South County Dublin, is a dedicated sustainable food hub and Dublin’s only working urban farm and gardens. The 38-acre site, originally owned by the Overend family, attracts over 120,000 visitors for a fun day out including families, garden enthusiasts, schools, weddings and businesses.
The community garden at Airfield Estate is based on a partnership between the Estate and Toast corporation, a digital technology platform built for restaurants with an office in Dublin. The community garden  was created to produce sustainable fruit and vegetables while also offering opportunities for people to learn about environmentally-friendly food production, empowering them to make more informed food choices. The Toast.org Community Garden at Airfield Estate will be a resource centre for education on nutrition, food sovereignty, seed saving, biodiversity, conservation, and resource management, supporting Toast.org’s mission to enrich the food experience for all.  The community garden will also support Airfield Estate’s ambition to be Dublin’s sustainable food hub and help bring Dublin on its journey to be known as a world-leading sustainable food city (2, 3). The grounds will be accessible to everyone, from the local community and vulnerable groups to corporate employees, and the space will host horticulture talks and workshops on various topics. The partnership between Toast.org and Airfield Estate began in 2021 when some of Toast’s Dublin-based employees volunteered with the charity. The launch of the community garden is one of several ways Toast.org will support Airfield Estate throughout 2023. (2)",https://www.airfield.ie/communitygarden/,1,3,2,3,2,0,3,1,2,3,3,2,3,2,1,2,9,6,10,8
260,Mobile (FUA),Northern America,Cypress Shore Park,Cypress Shore Park,"A new park is being planned for the Cypress Shores area in Mobile (Ref 1). Five civil engineering students from the University of South Alabama contributed to the design of the park (Ref 1). This collaboration offers students practical experience while providing city designers with innovative ideas for the site (Ref 2). The design emphasizes sustainability and cost-effectiveness (Ref 3). The project will feature a small park and boat launch on a 5.6-acre plot (Ref 1) located within a residential neighbourhood (Ref 3).
The park's societal goal is to improve public access to Halls Mill Creek, giving the community a new way to enjoy the waterway, and this focus aligns with the Mobile Bay National Estuary Program (MBNEP) goals (Ref 3). Historically, the property was used as a shipyard with a nearby railroad crossing (Ref 1), marking its transition from an industrial site to a public park.
Several amenities have been identified for the park’s development, including a boat ramp and kayak launch, a boardwalk adapted to sea-level rise, a pavilion and gazebo designed for flood resilience, a wetland nature trail with solar lighting and educational signage, and composting toilet restroom facilities (Ref 3). An armoured shoreline will be implemented to withstand medium water currents, and wave action will be constructed.  Additionally, a living shoreline will be restored with local plants (Ref 3). While the project is still in its preliminary design phase, the timeline for completion is estimated at 12 to 18 months (Ref 1). The designers highlighted a potential trade-off, noting that an influx of visitors to the park could disturb the surrounding residential area (Ref 3).",https://docs.google.com/presentation/d/1b5hx7CCL2zHv7oCacG4U3yY3m3scNb2tVE32dMoQHFI/edit#slide=id.g2cda493b165_2_0,2,1,2,3,2,1,3,1,2,3,2,1,3,2,3,1,8,7,8,9
261,La Paz (FUA),Latin America and the Caribbean,Metropolitan Lineal Park,Parque Lineal Metropolitano,"The Metropolitan Linear Park is a project initiated by the national government of Bolivia, funded by the Inter-American Development Bank (IDB) (1-8). The proposed park will be located along a disused railway corridor between the cities of La Paz and El Alto, spanning 18.2 km (8, p. 8). The project involves the construction of a linear park, divided into five sections, each with distinct objectives, uses, and designs (8, p. 9). This large-scale initiative aims to improve access to public spaces in La Paz and El Alto, enhance connectivity between the two cities, protect surrounding biodiversity and natural spaces, and strengthen resilience to and mitigate the effects of climate change (3 & 8, pp. 11-12).
To achieve these goals, the project design includes outdoor sports and recreational facilities, pedestrian and cycling circuits, as well as the restoration of parks, squares, and public spaces adjacent to the park corridor (8, p. 9). Some features include balcony corridors, flower and food-producing urban gardens, and viewpoints (5). The project also plans for the re-vegetation of the area with native species and aims to stop the environmental degradation of surrounding natural environments, such as the Pura Pura forest, which has been suffering from ongoing deforestation and waste dumping (8, p. 9). These efforts are expected to increase and support biodiversity in the area (7 & 8, p. 12).
Additionally, the project emphasizes social inclusion, with policies designed to incorporate women, indigenous populations, and persons with disabilities (8, pp. 7-8). The park is intended to raise awareness about climate change and biodiversity, ultimately improving the quality of life and health of nearby residents and the citizens of La Paz and El Alto (8, p. 13).",https://www.iadb.org/es/proyecto/BO-L1212,2,1,3,4,2,0,4,NA,2,3,4,3,4,2,3,3,10,6,12,12
262,Cagliari (FUA),Europe,Archipelagos Square,Piazza degli Arcipelaghi,"The project to redevelop Archipelagos Square in Cagliari aims to transform this key urban space, which serves as a gateway between the city and its coastal areas, into a more functional and aesthetically pleasing environment. Currently, the area lacks cohesive design, leading to unregulated use and its transformation into an informal parking lot. The redevelopment will address these issues by enhancing the pedestrian experience and reducing vehicular traffic. Improvements in public comfort and safety will include better rainwater drainage, the removal of architectural barriers, and the creation of accessible pathways for all.
This project emphasizes environmental sustainability and the preservation of the local landscape. Key interventions include revitalizing green spaces, safeguarding native vegetation, and removing invasive species. Integrating walking and cycling paths will improve connectivity between the city, Marina Piccola, and Poetto beach, fostering outdoor recreational activities. A designated eco-system filter will recreate the natural dune environment, blending pedestrian areas with the surrounding landscape.
Funded by the Fondo Sviluppo e Coesione (FSC), the project has a total budget of 3 million euros, with construction lasting 10 months starting in October 2023. The redevelopment reflects the broader goals of Cagliari’s administration to promote sustainable urban mobility and improve the public realm, contributing to the city's vision of becoming a hub for nautical sports while enhancing the overall quality of life for residents and visitors (Refs. 1, 2, 3 & 4).",https://www.comune.cagliari.it/portale/page/it/cagliari_rivela_il_futuro_di_piazza_degli_arcipelaghi?contentId=NVT162247,2,1,4,NA,2,1,1,1,4,2,2,1,3,2,3,3,7,5,9,11
263,Cagliari (FUA),Europe,Restoration of the Rio Mannu-Cixerri,Mitigazione del rischio idraulico Rio Mannu-Cixerri,"In 2020, the Metropolitan City of Cagliari launched a project to enhance flood resilience and ecological integrity in the Mannu-Cixerri river system in southern Sardinia. The river traverses several communes within the metropolitan area, ultimately feeding into the Santa Gilla Lagoon, a vital wetland ecosystem west of the city.
The project, with a budget of €21 million, focuses on three key communes: Assemini, Decimomannu, and Uta. Rather than solely emphasizing structural flood defenses, the initiative integrates nature-based solutions (NbS) to mitigate flood risks while restoring riverine ecosystems. The Metropolitan City of Cagliari, in collaboration with the Sardinian Regional Public Works Department, is responsible for its implementation.
Key interventions include reinforcing and revegetating embankments, improving water flow along the Rio Mannu, and constructing new levee sections in a manner that enhances natural water retention. Additionally, the project involves upgrading bridges to facilitate better floodwater management. These measures align with the Sardinian Flood Risk Management Plan (PGRA) and aim to reduce flood hazards while promoting ecological benefits.
The project timeline began with a two-year preparation phase for the Preliminary Design Document, followed by a year-long tendering process for construction. These efforts represent a crucial step toward long-term flood resilience and environmental sustainability in the region. (Ref. 1, 2, 3)",https://www.unionesarda.it/news-sardegna/provincia-cagliari/rio-mannu-cixerri-21-milioni-per-la-mitigazione-del-rischio-idraulico-wzngmhhq,2,1,3,4,1,1,4,NA,1,1,3,4,2,2,3,3,10,6,9,10
